timestamp,market_id,question,mid_yes,mid_no,spread,liquidity,volume_1m,volume_24h,volatility_lookback,time_to_resolution_days,market_type,regime
2025-10-24 16:48:40.491817,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 16:50:00.605491,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 16:50:03.383910,516706,Fed rate hike in 2025?,0.5,0.5,0.05,43498.9219,0.0,642587.956819,0.0,999.0,economics,information
2025-10-24 16:50:06.239717,516710,US recession in 2025?,0.5,0.5,0.05,101535.7453,0.0,9834174.241515,0.0,999.0,other,information
2025-10-24 16:50:08.898316,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45614.45554,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 16:50:11.588546,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39293.21309,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 16:50:14.422475,516713,USDT depeg in 2025?,0.5,0.5,0.05,13719.14595,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 16:50:17.155373,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2255.4451,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 16:50:19.872668,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29072.31599,0.0,124509.769656,0.0,999.0,other,information
2025-10-24 16:50:22.628121,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93773.6407,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 16:50:25.330659,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42351.3867,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 16:50:28.035476,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,392341.9169,0.0,24114605.814035,0.0,999.0,other,information
2025-10-24 16:50:30.734301,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35867.66596,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 16:50:33.641212,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19847.5163,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 16:50:36.412828,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,75495.82673,0.0,2622063.575807,0.0,999.0,economics,information
2025-10-24 16:50:39.241309,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,61760.656,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 16:50:42.008595,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,45355.4853,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 16:50:45.092838,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,58210.81531,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 16:50:47.973116,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,138597.93398,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 16:50:51.058634,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,159595.15804,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 16:50:53.838883,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,193510.63778,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 16:52:14.546803,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 16:52:17.448304,516706,Fed rate hike in 2025?,0.5,0.5,0.05,36849.95561,0.0,642587.956819,0.0,999.0,economics,information
2025-10-24 16:52:20.222500,516710,US recession in 2025?,0.5,0.5,0.05,101155.7337,0.0,9834177.031515,0.0,999.0,other,information
2025-10-24 16:52:23.059274,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45614.45554,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 16:52:25.956191,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39293.21309,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 16:52:28.687427,516713,USDT depeg in 2025?,0.5,0.5,0.05,13719.14595,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 16:52:31.462767,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2255.4451,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 16:52:34.205234,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29008.62554,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 16:52:36.998320,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93673.9207,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 16:52:39.819596,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.7067,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 16:52:42.785349,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,392341.9169,0.0,24114605.814035,0.0,999.0,other,information
